name,adversarial_refusal_rate,comparative_mean,correction_rate,count,fact_coverage_mean,faithfulness_mean,latency_ms_mean,latency_ms_std,model_calls_mean,multi_hop_mean,project_entity_mean,retry_count_mean,safe_fallback_rate,tool_calls_mean
adversarial,0.75,,0.75,80,0.75,0.75,42.04975,18.87308513300091,2.5,,0.75,0.75,0.0,0.875
comparative,,0.5833333333333334,0.4166666666666667,72,0.5833333333333334,0.5833333333333334,59.61763888888889,32.12502548607098,2.1666666666666665,,0.5833333333333334,0.4166666666666667,0.4166666666666667,1.6527777777777777
multi_hop,,,0.4270833333333333,96,0.546875,0.5729166666666666,54.6059375,30.60489001566733,2.1770833333333335,0.546875,0.5729166666666666,0.4270833333333333,0.4270833333333333,1.6041666666666667
single_hop,,,0.21875,96,0.78125,0.78125,47.84791666666667,24.373119923932368,1.96875,,0.3333333333333333,0.21875,0.21875,0.875
